age,workclass,education,marital-status,occupation,race,hours-per-week,Salary
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White,40, >50K
38, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, White,40, >50K
49, Private, Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander,40, >50K
45, Private, Assoc-voc, Never-married, Prof-specialty, White,40, >50K
52, ?, HS-grad, Divorced, ?, White,45, >50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, White,40, >50K
51, Private, Some-college, Married-civ-spouse, Sales, White,40, >50K
28, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
44, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Black,38, >50K
40, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, White,40, >50K
37, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, White,42, >50K
58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, White,1, >50K
40, Federal-gov, Masters, Never-married, Exec-managerial, White,55, >50K
35, Private, Masters, Married-civ-spouse, Prof-specialty, White,40, >50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,50, >50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Black,36, >50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White,35, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, >50K
54, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, White,40, >50K
37, Private, Bachelors, Never-married, Exec-managerial, Black,60, >50K
28, Private, Prof-school, Never-married, Prof-specialty, White,55, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,50, >50K
38, Local-gov, Masters, Married-civ-spouse, Exec-managerial, White,70, >50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
58, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,45, >50K
40, Private, Assoc-acdm, Married-civ-spouse, Tech-support, White,60, >50K
41, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,40, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Asian-Pac-Islander,40, >50K
37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander,75, >50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, White,40, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, >50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, White,40, >50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, White,40, >50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, White,48, >50K
42, Local-gov, Some-college, Married-civ-spouse, Craft-repair, White,40, >50K
57, Federal-gov, Masters, Married-civ-spouse, Sales, White,40, >50K
41, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,60, >50K
48, Private, Bachelors, Married-civ-spouse, Adm-clerical, White,40, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, White,45, >50K
55, Private, HS-grad, Married-civ-spouse, Sales, White,40, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White,40, >50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, White,54, >50K
34, Private, Masters, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander,35, >50K
36, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Black,40, >50K
43, Private, Some-college, Married-civ-spouse, Prof-specialty, White,50, >50K
38, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White,40, >50K
36, State-gov, HS-grad, Married-civ-spouse, Protective-serv, White,40, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
59, ?, Bachelors, Married-civ-spouse, ?, White,40, >50K
38, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, White,40, >50K
40, Private, Assoc-voc, Married-civ-spouse, Tech-support, White,40, >50K
62, Private, Masters, Married-civ-spouse, Prof-specialty, White,40, >50K
43, Private, Bachelors, Divorced, Exec-managerial, White,45, >50K
57, Private, Bachelors, Divorced, Exec-managerial, White,45, >50K
40, State-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, White,38, >50K
44, Private, Some-college, Married-civ-spouse, Adm-clerical, White,6, >50K
35, Private, HS-grad, Married-civ-spouse, Other-service, White,40, >50K
34, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, White,45, >50K
25, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,55, >50K
52, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White,50, >50K
50, State-gov, Bachelors, Married-civ-spouse, Protective-serv, White,40, >50K
41, Private, Masters, Married-civ-spouse, Exec-managerial, White,65, >50K
28, ?, Some-college, Married-civ-spouse, ?, White,40, >50K
46, Private, Doctorate, Married-civ-spouse, Exec-managerial, White,60, >50K
35, Private, 12th, Divorced, Craft-repair, White,50, >50K
32, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
63, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White,40, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Other-service, White,25, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, White,50, >50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, White,40, >50K
45, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, White,55, >50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, >50K
42, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Black,40, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, White,40, >50K
40, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander,40, >50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, White,45, >50K
30, Private, Bachelors, Married-civ-spouse, Tech-support, White,16, >50K
60, Private, Some-college, Never-married, Prof-specialty, White,40, >50K
38, Private, Bachelors, Married-civ-spouse, Sales, White,60, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, White,50, >50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,50, >50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White,80, >50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, White,50, >50K
37, Local-gov, Some-college, Married-civ-spouse, Tech-support, White,45, >50K
44, Private, Some-college, Divorced, Machine-op-inspct, White,58, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, White,50, >50K
67, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,48, >50K
33, Federal-gov, Assoc-voc, Divorced, Craft-repair, Black,40, >50K
54, Private, Bachelors, Married-civ-spouse, Sales, White,35, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, White,50, >50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, White,60, >50K
37, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White,40, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
65, ?, Some-college, Married-civ-spouse, ?, White,30, >50K
57, Private, HS-grad, Married-civ-spouse, Sales, White,40, >50K
52, Private, 10th, Married-civ-spouse, Craft-repair, White,47, >50K
60, Private, 7th-8th, Never-married, Transport-moving, White,48, >50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
42, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, White,50, >50K
51, Private, Masters, Married-civ-spouse, Craft-repair, White,40, >50K
46, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,45, >50K
34, Private, HS-grad, Married-civ-spouse, Sales, White,45, >50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, White,40, >50K
49, Private, Bachelors, Married-civ-spouse, Sales, White,26, >50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, White,60, >50K
30, Private, Bachelors, Married-civ-spouse, Adm-clerical, Black,40, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,60, >50K
52, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, White,60, >50K
36, Private, Some-college, Married-civ-spouse, Sales, White,50, >50K
50, Self-emp-inc, Doctorate, Separated, Prof-specialty, White,40, >50K
30, State-gov, Bachelors, Married-civ-spouse, Tech-support, White,40, >50K
35, Private, Doctorate, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander,40, >50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White,40, >50K
44, Self-emp-not-inc, 12th, Married-civ-spouse, Handlers-cleaners, Black,40, >50K
42, Private, Assoc-acdm, Divorced, Prof-specialty, White,40, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Black,40, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White,50, >50K
37, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White,40, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White,40, >50K
35, Private, Masters, Never-married, Prof-specialty, White,60, >50K
31, Private, Masters, Married-civ-spouse, Tech-support, White,40, >50K
46, Private, Doctorate, Divorced, Prof-specialty, White,65, >50K
44, Private, Bachelors, Divorced, Exec-managerial, White,50, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,45, >50K
50, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, White,42, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,45, >50K
43, Private, Bachelors, Never-married, Prof-specialty, White,40, >50K
65, Self-emp-not-inc, 11th, Married-civ-spouse, Exec-managerial, White,59, >50K
42, Private, Bachelors, Married-civ-spouse, Tech-support, White,40, >50K
42, Private, Masters, Never-married, Exec-managerial, White,50, >50K
42, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, White,40, >50K
29, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
54, Private, HS-grad, Married-civ-spouse, Transport-moving, White,40, >50K
46, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, White,40, >50K
59, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, White,38, >50K
53, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, White,70, >50K
51, Private, Bachelors, Never-married, Sales, White,55, >50K
37, Private, Assoc-voc, Married-civ-spouse, Tech-support, White,24, >50K
43, Private, Bachelors, Married-civ-spouse, Sales, White,50, >50K
40, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, White,50, >50K
40, Private, Bachelors, Never-married, Sales, Other,55, >50K
48, Private, Assoc-voc, Married-civ-spouse, Tech-support, White,50, >50K
60, Private, HS-grad, Married-civ-spouse, Transport-moving, White,60, >50K
46, Private, Masters, Never-married, Tech-support, White,35, >50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, White,48, >50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,47, >50K
64, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
56, Private, Some-college, Married-civ-spouse, Craft-repair, White,50, >50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, White,50, >50K
57, Private, HS-grad, Widowed, Transport-moving, White,42, >50K
53, Private, Some-college, Married-civ-spouse, Adm-clerical, White,40, >50K
41, Private, Bachelors, Divorced, Prof-specialty, White,50, >50K
51, Private, Some-college, Married-civ-spouse, Prof-specialty, White,40, >50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, >50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,45, >50K
61, Private, Masters, Widowed, Prof-specialty, White,40, >50K
48, State-gov, Doctorate, Divorced, Prof-specialty, White,50, >50K
59, Private, HS-grad, Married-civ-spouse, Other-service, White,40, >50K
49, Private, Bachelors, Never-married, Exec-managerial, White,56, >50K
39, Private, Some-college, Married-civ-spouse, Farming-fishing, White,50, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
71, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, White,40, >50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Asian-Pac-Islander,40, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,60, >50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, White,40, >50K
32, Private, Bachelors, Married-civ-spouse, Adm-clerical, White,40, >50K
38, Private, Bachelors, Married-civ-spouse, Sales, White,50, >50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,50, >50K
42, Self-emp-not-inc, Prof-school, Married-civ-spouse, Farming-fishing, White,65, >50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,45, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,45, >50K
67, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander,40, >50K
51, Private, Masters, Married-civ-spouse, Exec-managerial, White,60, >50K
37, Private, 11th, Married-civ-spouse, Machine-op-inspct, White,44, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, White,99, >50K
41, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,40, >50K
31, Private, Bachelors, Never-married, Sales, White,40, >50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White,40, >50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White,45, >50K
44, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, White,40, >50K
43, Private, Masters, Married-civ-spouse, Exec-managerial, White,43, >50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Sales, White,70, >50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
42, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, White,40, >50K
35, Self-emp-inc, Some-college, Married-civ-spouse, Sales, White,60, >50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander,40, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, White,35, >50K
67, Private, Bachelors, Widowed, Exec-managerial, White,40, >50K
40, State-gov, Masters, Married-civ-spouse, Prof-specialty, White,35, >50K
45, Local-gov, HS-grad, Widowed, Protective-serv, White,40, >50K
47, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,50, >50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, White,55, >50K
48, Federal-gov, Bachelors, Divorced, Exec-managerial, White,58, >50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White,50, >50K
50, Private, Doctorate, Married-civ-spouse, Prof-specialty, White,65, >50K
38, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, White,40, >50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White,40, >50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White,52, >50K
50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White,40, >50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, White,44, >50K
33, Private, Assoc-voc, Married-civ-spouse, Tech-support, White,40, >50K
48, Local-gov, Masters, Married-civ-spouse, Prof-specialty, White,35, >50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, White,55, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,60, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,50, >50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, White,40, >50K
30, Private, Bachelors, Married-civ-spouse, Adm-clerical, White,40, >50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, White,55, >50K
49, Local-gov, Masters, Married-civ-spouse, Prof-specialty, White,40, >50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, White,47, >50K
49, Private, Some-college, Married-civ-spouse, Sales, White,80, >50K
35, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,80, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, White,50, >50K
48, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, White,46, >50K
43, State-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, White,40, >50K
41, Local-gov, Some-college, Married-civ-spouse, Protective-serv, White,40, >50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, White,52, >50K
41, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, White,40, >50K
44, Self-emp-not-inc, Bachelors, Never-married, Sales, White,50, >50K
29, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White,25, >50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, White,60, >50K
34, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, White,25, >50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, White,40, >50K
35, Self-emp-inc, Masters, Married-civ-spouse, Sales, White,45, >50K
33, Private, Bachelors, Married-civ-spouse, Sales, White,45, >50K
60, Self-emp-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, White,70, >50K
58, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, White,50, >50K
31, Private, Some-college, Married-civ-spouse, Exec-managerial, White,50, >50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, White,45, >50K
35, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Black,60, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, White,44, >50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White,35, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White,40, >50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, White,45, >50K
28, State-gov, Masters, Married-civ-spouse, Prof-specialty, White,50, >50K
33, Private, Bachelors, Married-civ-spouse, Sales, White,60, >50K
54, Private, Assoc-acdm, Married-civ-spouse, Tech-support, White,40, >50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
65, Private, Bachelors, Married-civ-spouse, Adm-clerical, White,20, >50K
25, Private, Masters, Married-civ-spouse, Farming-fishing, White,99, >50K
58, ?, Some-college, Married-civ-spouse, ?, White,40, >50K
50, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, White,48, >50K
50, ?, HS-grad, Married-civ-spouse, ?, White,40, >50K
40, Private, Bachelors, Divorced, Exec-managerial, White,45, >50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, White,40, >50K
45, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Black,80, >50K
30, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, White,50, >50K
44, Private, Bachelors, Never-married, Other-service, White,40, >50K
61, Self-emp-inc, Masters, Married-civ-spouse, Sales, White,40, >50K
38, Private, Bachelors, Married-civ-spouse, Sales, White,42, >50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Sales, White,60, >50K
54, Private, Doctorate, Married-civ-spouse, Prof-specialty, White,45, >50K
63, ?, Bachelors, Widowed, ?, White,40, >50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Amer-Indian-Eskimo,40, >50K
38, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,40, >50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White,40, >50K
38, Private, Masters, Married-civ-spouse, Transport-moving, White,72, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,60, >50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
35, Private, Masters, Never-married, Prof-specialty, White,45, >50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, White,59, >50K
54, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, White,60, >50K
51, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, White,50, >50K
57, Private, HS-grad, Married-civ-spouse, Sales, White,50, >50K
43, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
53, Private, HS-grad, Married-civ-spouse, Transport-moving, White,48, >50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
51, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, White,40, >50K
46, Private, Bachelors, Married-civ-spouse, Sales, White,40, >50K
67, Private, Bachelors, Married-civ-spouse, Protective-serv, White,7, >50K
42, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Asian-Pac-Islander,40, >50K
65, ?, HS-grad, Married-civ-spouse, ?, White,40, >50K
50, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,40, >50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, White,50, >50K
58, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, White,40, >50K
37, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, White,43, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, >50K
32, Private, Some-college, Married-civ-spouse, Handlers-cleaners, White,50, >50K
35, Private, Doctorate, Married-civ-spouse, Prof-specialty, White,40, >50K
41, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, White,45, >50K
27, Private, HS-grad, Never-married, Sales, White,50, >50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, White,24, >50K
39, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,40, >50K
52, Private, HS-grad, Widowed, Other-service, Asian-Pac-Islander,40, >50K
51, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, White,40, >50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, White,40, >50K
61, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White,50, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander,60, >50K
34, Private, Some-college, Never-married, Prof-specialty, White,50, >50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, White,50, >50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, White,60, >50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, >50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander,40, >50K
65, Private, Masters, Married-civ-spouse, Sales, White,40, >50K
40, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, White,70, >50K
40, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Black,40, >50K
42, Private, 10th, Never-married, Transport-moving, White,40, >50K
50, Private, HS-grad, Married-civ-spouse, Transport-moving, White,60, >50K
24, Private, HS-grad, Married-civ-spouse, Other-service, White,45, >50K
39, Local-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, White,50, >50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, White,45, >50K
31, Private, Bachelors, Married-civ-spouse, Sales, Black,90, >50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,40, >50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, White,35, >50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, White,40, >50K
32, Private, Assoc-voc, Divorced, Sales, White,50, >50K
36, Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, White,40, >50K
47, Private, HS-grad, Married-civ-spouse, Sales, White,40, >50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, White,50, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White,60, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, White,45, >50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, White,50, >50K
49, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, White,50, >50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Black,60, >50K
41, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, White,60, >50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White,40, >50K
30, Private, Some-college, Never-married, Craft-repair, White,40, >50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, White,40, >50K
40, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, White,36, >50K
61, Private, Prof-school, Married-civ-spouse, Transport-moving, White,5, >50K
58, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White,40, >50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White,40, >50K
43, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Black,40, >50K
37, Private, Masters, Divorced, Exec-managerial, White,60, >50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,40, >50K
53, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, White,35, >50K
28, Self-emp-inc, 11th, Married-civ-spouse, Craft-repair, White,50, >50K
32, Private, 11th, Divorced, Sales, White,43, >50K
